,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
40,다행히 그냥 천둥만 치고 뭐 비나 이런 건 오지 않더라고. 그러니 다행이지.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,neutral,0,48,female
41,다행히 천둥 소리에 놀란 것 빼고는 별다른 문제 없었어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,48,female
42,화장실은 청소를 해도 곰팡이는 없어지질 않아. 어떻게 해야 돼.,angry,disgust,2,angry,2,sadness,2,disgust,2,disgust,2,48,female
43,맞아. 우리 집은 화장실에 창문 하나도 없어. 그러니 습기가 빠져나갈 데가 없어.,angry,neutral,0,sadness,1,sadness,2,disgust,2,sadness,2,48,female
44,맞아. 장마철이라 더 많은 곰팡이가 피는 것 같애. 그래서 하루 종일 락스로 닦았더니 머리까지 아파 이젠.,angry,disgust,2,angry,2,sadness,2,disgust,2,sadness,2,48,female
45,"곰팡이 제거제라는 것도 있었어? 아이, 그런 걸로 청소를 했어야 하는 건데.",angry,surprise,2,angry,2,sadness,2,disgust,2,surprise,1,48,female
46,당연히 구매해서 써봐야지. 당장에 구매할게.,angry,neutral,0,happiness,1,sadness,2,disgust,2,angry,1,48,female
47,으! 쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust,disgust,2,disgust,2,disgust,2,disgust,2,disgust,2,48,female
48,며칠 전에 버린 음식물 쓰레기 때문에 그렇게 된 것 같애.,disgust,sadness,2,disgust,2,disgust,2,disgust,1,disgust,2,48,female
49,당연히 바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,disgust,disgust,2,disgust,1,disgust,2,disgust,1,disgust,2,48,female
50,"음식물 쓰레기 냄새, 방향제 냄새까지 섞이면 이상할까 봐서 못 뿌렸어.",disgust,disgust,2,disgust,1,disgust,2,disgust,1,sadness,1,48,female
51,내 잘못이니 어쩔 수 없지. 다음부턴 안 그럴 거야.,disgust,sadness,2,disgust,1,sadness,2,disgust,1,sadness,2,48,female
52,드디어 구매한 노트북이 도착했어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,2,48,female
53,알바비를 모아서 산 거기 때문에 좋은 건 못 샀어.,happiness,neutral,0,happiness,1,sadness,1,happiness,1,neutral,0,48,female
54,알았어. 걱정하지 마. 꼼꼼히 살펴보고 또 살펴 볼게.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,48,female
55,"할 게 너무너무 많아. 영화도 봐야 되지, 그 동안 못 봤던 드라마나 예능 프로그램. 그리고 이걸로 프로젝트도 해야 돼.",happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,48,female
56,"정말? 정말 그런 보험도 있었어? 당장에 가입해야지, 그럼.",happiness,surprise,2,happiness,1,happiness,1,happiness,1,neutral,0,48,female
57,내일 친구 만나는데 뭘 먹어야 될지 정말 고민이야.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,sadness,1,48,female
58,음식점이 많기로 소문 난 강남역에서 만나기로 했어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,48,female
59,난 일식을 좋아하지만 그래도 양식도 좋아하기도 해. 둘 다 먹을 수 있어.,neutral,neutral,0,happiness,1,neutral,0,neutral,0,sadness,1,48,female
60,에피타이저 푸짐하게 주는 집이면 더 좋지. 그런 곳을 알려 줘.,neutral,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,48,female
61,그렇지. 빨리 알려 줘. 내 친구랑 의논해서 내일 정말 맛있게 먹고 올게.,neutral,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,48,female
62,나 드디어 프로젝트 끝냈어!,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
63,당연하지. 한 달 동안 주말도 반납해가면서 만든 프로젝트야. 완전히 끝냈다고.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
64,그래. 신나는 음악 들으면서 맘껏 춤 추고 싶어.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
65,벌써 다 약속 잡아 놨지. 내일 만나기로 했어.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
66,그렇잖아도 내일 친구들이랑 만나서 여행 계획을 세울 거야. 좋은 생각이지?,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,1,48,female
67,나 너무 우울해. 매일매일이 정말 힘들어.,sadness,sadness,2,sadness,2,sadness,2,sadness,2,sadness,2,48,female
68,맞아. 밖에 나가서 햇빛을 못 보니 몸이 지치고 마음은 더 힘들고.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
69,그런 음악 있으면 빨랑빨랑 추천해 줘. 듣고 힘 좀 내게.,sadness,sadness,2,happiness,1,sadness,1,sadness,1,sadness,1,48,female
70,영화까지 찾아주면 내가 좀 더 힘을 내볼 수 있을 거야. 얼른 찾아 줘.,sadness,neutral,0,happiness,1,happiness,1,neutral,0,happiness,1,48,female
71,아니 요즘은 왜들 다 이러는 건지 이해할 수가 없어.,angry,disgust,2,angry,1,angry,2,disgust,2,angry,2,48,female
72,내가 좋아하는 유튜버가 괜찮은 제품이라고 하나 소개해서 나도 샀거든. 그랬더니 그게 돈 받고 하는 광고였대.,angry,disgust,2,sadness,1,angry,2,angry,1,angry,2,48,female
73,더 실망스러운 건 모르는 척 하는 거야. 그래서 우리가 증거를 들이밀었지. 그랬더니 그 때서야 우리한테 사과하더라고.,angry,disgust,2,angry,2,angry,2,disgust,1,angry,1,48,female
74,억지로 하는 사과가 진정성이 있었을까? 우리가 더 상처 받은 느낌이야.,angry,disgust,2,angry,2,sadness,2,disgust,1,angry,1,48,female
75,기분이 좀 나아진다면 그런 영상도 필요할 거라고 생각해. 좀 부탁해.,angry,neutral,0,angry,1,sadness,2,sadness,1,sadness,1,48,female
76,나 아무래도 혼자 갇힌 것 같애.,fear,sadness,2,fear,2,fear,2,fear,2,fear,2,48,female
77,자고 일어났더니 온 마을이 다 물바다야. 나 혼자 있어. 무서워.,fear,fear,2,fear,2,fear,2,fear,2,fear,2,48,female
78,"내가 잠이 들면 업어가도 몰라. 그래서 재난 문자랑 피하라는 전화도 못 받고, 그냥 잠만 자고 있었나 봐.",fear,sadness,2,fear,2,fear,1,fear,1,fear,2,48,female
79,우리 집 주위에 다 물로 차 있어. 나갈 수가 없어.,fear,fear,2,fear,2,sadness,2,fear,1,fear,2,48,female
80,내 몸은 괜찮아. 다친 덴 없어. 그리고 우리 집까진 아직 들어오지 않았어.,fear,neutral,0,fear,2,sadness,2,fear,1,sadness,1,48,female
81,"내일 친구랑 만나기로 했는데, 뭘 먹을지 모르겠어.",neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
82,강남역에서 만나기로 했는데 아직도 뭘 먹을지 못 정했어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
83,강남역에 맛집이 너무 많으니까 더 못 고르겠더라고. 나는 일식을 좋아하니까 일식을 먹었으면 좋겠어.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
84,"평점과 리뷰가 좋다고 하니까, 어떤.",neutral,neutral,0,happiness,1,neutral,0,neutral,0,happiness,1,46,female
85,평점과 리뷰가 좋다고 하니까 엄청 맛있을 거 같아. 너가 추천한 곳으로 가서 친구랑 맛있게 먹을게.,neutral,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,46,female
86,나 드디어 프로젝트가 끝났어.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,46,female
87,프로젝트에 최종 발표를 마쳤으니까 모든 게 완전히 끝난 거야. 마음이 너무나 홀가분해.,happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,46,female
88,신나는 음악을 들으면서 춤이라도 추고 싶은 게 내 심정이야. 그만큼 기분이 좋아.,happiness,happiness,1,happiness,2,happiness,1,happiness,2,happiness,2,46,female
89,"프로젝트를 하느라고 한 달 동안 친구를 못 만났는데, 못 만났던 친구를 만나는 것도 좋을 거 같아.",happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,46,female
90,시간이 된다면 여행을 가서 마음을 좀 힐링 시키고 오고 싶어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,46,female
91,내 휴가가 엉망이야.,angry,disgust,1,angry,2,sadness,2,sadness,1,sadness,2,46,female
92,"오늘부터 휴가 기간인데, 휴가 기간 내내 비 소식이 있어. 너무 짜증 나.",angry,disgust,2,angry,2,angry,2,sadness,1,sadness,2,46,female
93,"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",angry,disgust,2,angry,2,sadness,2,sadness,1,sadness,2,46,female
94,휴가 기간 내내 비가 온다니까 아무래도 집에서 보낼 수 있는 방법을 찾아봐야 될 거 같아. 쉬면서 휴가를 즐겁게 보낼 수 있는 방법을 찾아볼게.,angry,neutral,0,angry,2,sadness,1,sadness,1,sadness,1,46,female
95,휴가 기간 내내 비가 온다고 하니까 아무래도 집에서 휴가를 보낼 수 있는 방법을 찾아 봐야 할 거 같아.,angry,neutral,0,angry,2,sadness,1,sadness,1,sadness,1,46,female
97,오자 마자 노트북 여기 저기를 살펴 봤는데 아무 문제가 없더라고. 성능도 정말 좋아.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
98,노트북으로는 지금 구상하고 있는 만화를 만들 거야.,happiness,neutral,0,happiness,1,happiness,1,happiness,1,happiness,1,46,female
99,종종 밖에서 작업할 일도 생기니까 노트북 보험 가입을 생각해봐야겠어.,happiness,neutral,0,happiness,1,happiness,1,neutral,0,neutral,0,46,female
100,쓰레기통에서 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물 쓰레기가 상해서 냄새가 나는 거였어.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,disgust,1,46,female
101,쓰레기통에서 냄새가 진동을 하고 날파리가 생겨서 지금 당장 쓰레기를 묶어서 버려야 할 거 같아.,disgust,neutral,0,disgust,2,disgust,1,disgust,1,disgust,1,46,female
102,고약한 냄새가 너무 심해서 방향제로 해결이 안 될 수도 있을 거 같아.,disgust,neutral,0,disgust,2,disgust,1,disgust,1,sadness,1,46,female
103,힘들어도 내가 쓰레기통에 음식물 쓰레기를 버려서 생긴 일이니까 얼른 치워야지. 어쩌겠어.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,sadness,1,46,female
104,화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry,disgust,1,angry,2,disgust,1,disgust,2,angry,1,46,female
105,화장실에 환기를 자주 시키는데 왜 이렇게 곰팡이가 안 없어질까?,angry,neutral,0,angry,2,sadness,1,disgust,1,sadness,1,46,female
106,계속 비가 오니까 습기가 많아서 곰팡이가 정말 안 없어지나 봐. 볼 때마다 청소를 하니까 너무 힘들어.,angry,disgust,1,angry,2,sadness,1,disgust,1,sadness,1,46,female
107,화장실에 곰팡이를 없애는데 곰팡이 제거제가 효과가 있을까?,angry,neutral,0,angry,1,sadness,1,disgust,1,neutral,0,46,female
108,곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나 한번 구매해서 사용해볼래. 괜찮은 걸로 추천 좀 해줘봐.,angry,neutral,0,happiness,1,happiness,1,disgust,1,neutral,0,46,female
109,나 너무 우울해.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,2,46,female
110,코로나 때문에 재택 근무를 시작하면서 집에 있게 되니까 너무 우울해.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
111,모든 일을 비대면으로 처리하다 보니까 밖에 나갈 일이 없어서 괜히 몸이 기력이 없고 쳐져.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,1,46,female
112,기분이 우울할 때는 음악을 들으면 좀 나아질 거 같아.,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,46,female
113,"노래는 신나는 노래가 좋고, 영화는 재밌게 웃을 수 있는 영화였으면 좋겠어.",sadness,neutral,0,happiness,1,sadness,1,sadness,1,sadness,1,46,female
114,나 아까 해피를 산책시키다가 깜짝 놀랐어.,surprise,surprise,2,surprise,2,surprise,2,surprise,1,surprise,2,46,female
115,해피의 목줄이 갑자기 끊어져서 해피가 막 달려 나갔어.,surprise,surprise,1,surprise,2,surprise,1,surprise,1,fear,2,46,female
116,"아까는 해피 때문에 너무 놀라서 진정이 안 됐는데, 집에 와서 좀 쉬니까 마음이 진정 돼.",surprise,sadness,1,surprise,2,sadness,1,neutral,0,surprise,1,46,female
117,"아까는 해피 때문에 엄청 놀랐는데, 집에 와서 좀 쉬고 나니까 마음이 진정이 돼.",surprise,sadness,1,surprise,1,sadness,1,neutral,0,neutral,0,46,female
119,내가 좋아하는 인플루언서가 진행하는 이벤트에 당첨 됐어. 너무 기뻐!,happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,46,female
120,"비싼 향수를 선물로 받았다고 주변 사람들한테 이야기했더니, 다들 부러워했어.",happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,46,female
121,"10km 마라톤 대회에 출전했는데, 이전의 내 기록을 훨씬 경신했어. 너무 기뻐!",happiness,happiness,1,happiness,2,happiness,2,happiness,2,happiness,2,46,female
122,내가 달리는 운동을 너무 좋아해서 매번 열심히 연습해서 마라톤 대회에 출전했더니 좋은 성적을 낸 거 같아.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,46,female
123,"달리는 동안에는 엄청 힘들고 지쳤는데, 결승선을 들어서는 순간 기분이 엄청 좋았어! 날아갈 거 같았어!",happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,46,female
124,함께 달리는 크루가 있어서 힘들고 지칠 때 서로 힘이 돼서 너무 좋아.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,46,female
125,나 어제 자다가 깜짝 놀라서 깼어.,surprise,neutral,0,surprise,2,surprise,1,surprise,1,surprise,2,46,female
126,간신히 잠이 들어서 자고 있는데 엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깼어.,surprise,surprise,1,surprise,2,fear,1,disgust,1,surprise,2,46,female
127,엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깨서 무서워서 잠을 못 잤어.,surprise,fear,1,surprise,2,sadness,1,disgust,1,surprise,2,46,female
128,"천둥 번개 소리 때문에 어제는 너무 놀라고 무서워서 잠도 못 잤는데 오늘 아침에 좀 눈을 붙였더니, 좀 나아졌어.",surprise,fear,1,surprise,2,sadness,1,neutral,0,surprise,1,46,female
129,다른 피해가 없어서 정말 다행이었어.,surprise,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,46,female
130,나 요즘 주식을 시작했는데.,sadness,sadness,2,sadness,1,neutral,0,sadness,2,sadness,2,46,female
131,단톡방에서 아는 사람이 주식을 추천해서 구입하게 됐어.,sadness,neutral,0,neutral,0,neutral,0,sadness,1,sadness,1,46,female
132,주식은 시간이 지나도 오르지 않고 계속 떨어지고 있어서 손해가 보고 있어. 너무 속상해.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,46,female
133,"주식이 계속 떨어져서 팔아버릴까 생각을 했는데, 너의 말대로 좀 더 지켜보고 팔아야겠어. ",sadness,sadness,1,sadness,1,sadness,1,sadness,1,neutral,0,46,female
134,내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올렸어.,angry,disgust,2,angry,1,sadness,1,angry,1,sadness,1,46,female
135,"며칠 전에 자기는 뒷광고를 하지 않았다고 이야기했는데, 뒷광고 했다고 사과 영상을 올리니까 너무 어이가 없고 실망스러워.",angry,disgust,2,angry,2,sadness,1,angry,1,angry,1,46,female
136,지금은 너무 화가 나서 기분 전환용 영상도 보기 싫어! 아무 영상도 보기가 싫어!,angry,disgust,2,angry,2,sadness,1,angry,1,angry,2,46,female
137,기분 전환용 영상이 어떤 건데? 궁금하긴 하네.,angry,neutral,0,neutral,0,sadness,1,angry,1,neutral,0,46,female
138,나 아무래도 갇힌 거 같아!,fear,sadness,2,fear,2,fear,2,fear,2,fear,2,46,female
139,잠을 자고 일어났는데 나 혼자 집 안에 갇힌 거 같아. 너무 무서워.,fear,fear,2,fear,2,fear,2,fear,2,fear,2,46,female
140,"집 밖을 살펴봤는데, 집 주변까지 물이 차올라서, 밖으로 나갈 수 있는 상황이 아니야.",fear,neutral,0,fear,2,sadness,1,fear,1,fear,1,46,female
141,다행히 집 안에까지는 물이 들어오지 않았어. 몸도 괜찮지만 혼자 있는 거 자체가 너무 무섭고 두려워.,fear,fear,2,fear,2,fear,1,fear,1,fear,2,46,female
142,"내일 친구랑 밥 먹기로 했는데, 뭘 먹어야 될지 걱정이야.",neutral,sadness,2,neutral,0,sadness,1,fear,1,sadness,1,48,female
143,음식점이 너무 많은 강남역에서 만나기로 했어.,neutral,neutral,0,happiness,1,sadness,1,disgust,1,sadness,1,48,female
144,나 일식을 좋아해. 근데 내 친구는 양식 쪽인 거 같기도 해. 둘 다 알려줄래?,neutral,neutral,0,happiness,1,happiness,1,neutral,0,neutral,0,48,female
145,맛도 있는데 에피타이저도 많이 주면 정말 금상첨화지. 좋은 집으로 부탁해.,neutral,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,48,female
146,알았어. 정말 고마워. 내일 친구랑 맛있게 먹고 올게.,neutral,happiness,2,happiness,1,happiness,2,happiness,1,happiness,1,48,female
147,나 드디어 프로젝트 끝났어.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
148,그럼. 한 달 간 주말도 반납하고 얼마나 열심히 했는데. 완전히 끝났다니까!,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
149,응. 신나는 음악 들으면서 막 춤 추고 싶어.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
150,그렇잖아도 친구들이랑 벌써 약속했지. 내일 만나기로 했어.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
151,"알았어. 뭐든지 다 하고 싶어. 내일 친구들이랑 만나서 여행 계획도 세우고, 신나는 음악 들으면서 춤도 막 출 거야.",happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
152,나 너무 우울해. 매일 매일이 힘들어.,sadness,sadness,2,sadness,2,sadness,2,sadness,2,sadness,2,48,female
153,코로나가 내 일상을 다 바꿔버렸어. 회사도 재택 근무한대.,sadness,sadness,2,sadness,2,sadness,2,sadness,2,sadness,2,48,female
154,"맞아. 사람은 활동이란 걸 해야 되는데, 통 밖을 못 나가니까 몸이 더 축 처지고 아픈 것 같애.",sadness,sadness,2,sadness,2,sadness,1,sadness,2,sadness,2,48,female
155,그런 게 있으면 진작 좀 알려 줘. 나 우울증에서 탈퇴하고 싶어.,sadness,disgust,2,sadness,2,sadness,2,sadness,2,sadness,2,48,female
156,노래도 좋은데 영화까지 찾아주면 정말 땡큐지. 고마워.,sadness,happiness,2,happiness,1,happiness,2,happiness,1,happiness,2,48,female
157,아니 요즘은 다 왜 이러는 거지? 난 정말 이해가 안 가.,angry,disgust,2,angry,2,angry,2,disgust,1,angry,2,48,female
158,"내가 좋아하는 유튜버가 좋은 제품이라고 소개하는데, 알고 봤더니 그게 돈 받고 하는 광고였대.",angry,disgust,2,angry,2,angry,2,angry,1,angry,2,48,female
159,더 실망스러운 건 우리가 증거를 들이대기까지 사과를 안하는 거야. 그런데 나중에 끝내 사과하더라고.,angry,disgust,2,angry,2,angry,2,angry,1,angry,2,48,female
160,마지못해 하는 사과라서 진정성이라고는 털끝만큼도 없었어.,angry,disgust,2,angry,2,angry,2,angry,1,angry,2,48,female
161,이 더러운 기분을 없앨 수 있는 영상은 아무거나 다 추천해줘.,angry,disgust,2,angry,2,angry,1,disgust,1,angry,1,48,female
162,나 아무래도 혼자 갇힌 것 같아.,fear,sadness,2,fear,2,fear,2,fear,1,fear,2,48,female
163,자고 일어났더니 우리 동네가 다 물바다야.,fear,fear,2,fear,2,fear,2,fear,1,fear,2,48,female
164,내가 자느라고 재난문자랑 대피전화를 받지를 못했어. 그래서 나만 혼자 갇혀있는 거야.,fear,sadness,2,fear,2,fear,2,fear,1,fear,2,48,female
165,어. 우리집 주변이 다 물바다야. 밖으로 나갈 수가 없어.,fear,sadness,2,fear,2,sadness,2,fear,1,fear,2,48,female
166,집안까지 물은 들어오지 않았지만 나갈 수 있는 통로가 다 막혀버렸어. 그리고 난 괜찮아. 기분이 조금 우울하긴 하지만.,fear,sadness,2,fear,2,sadness,2,sadness,1,sadness,1,48,female
167,헐. 나 이벤트에 당첨되었대.,happiness,surprise,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
168,내 좋아하는 인플루언서가 파격 이벤트를 하더라고. 그래서 그냥 한 번 신청해봤지.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
169,한 명 뽑는데 내가 당첨이 됐대.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
170,완전 맘에 들어. 진짜진짜 비싼 향수거든.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
